FIrst_Name,Last_Name,Position,Offense,Defensive_Stats_ID,Offensive_Stats_ID
Aaron,Rogers,QB,1,1,1
Patrick,Mahomes,QB,1,2,2
Cam,Newton,QB,1,3,3
Drew,Brees,QB,1,4,4
Andrew,Luck,QB,1,5,5
Todd,Gurley,RB,1,6,6
Christian,McCaffrey,RB,1,7,7
Ezekiel,Elliott,RB,1,8,8
Saquon,Barkley,RB,1,9,9
Alvin,Kamara,RB,1,10,10
Leonard,Fournette,RB,1,11,11
Nick,Chubb,RB,1,12,12
James,Conner,RB,1,13,13
Arron,Jones,RB,1,14,14
David,Johnson,RB,1,15,15
Antonio,Brown,WR,1,16,16
Julio,Jones,WR,1,17,17
Davante,Adams,WR,1,18,18
Odell,Beckham,WR,1,19,19
Michael,Thomas,WR,1,20,20
Tyreek,Hill,WR,1,21,21
DeAndre,Hopkins,WR,1,22,22
Keenan,Allen,WR,1,23,23
Adam,Thielen,WR,1,24,24
Robert,Woods,WR,1,25,25
Mike,Evans,WR,1,26,26
JuJu,Smith-Schuster,WR,1,27,27
Brandin,Cooks,WR,1,28,28
Stefon,Diggs,WR,1,29,29
T.Y.,Hilton,WR,1,30,30
Travis,Kelce,TE,1,31,31
Zach,Ertz,TE,1,32,32
George,Kittle,TE,1,33,33
Eric,Ebron,TE,1,34,34
Rob,Gronkowski,TE,1,35,35
Justin,Tucker,K,1,36,36
Wil,Lutz,K,1,37,37
Harrison,Butker,K,1,38,38
Matt,Bryant,K,1,39,39
Stephen,Gostkowski,K,1,40,40
Bears,Chicago,DEF,0,41,41
Vikings,Minnesota,DEF,0,42,42
Rams,Los Angeles,DEF,0,43,43
Jaguars,Jacksonville,DEF,0,44,44
Ravens,Baltimore,DEF,0,45,45
Julian,Edelman,WR,1,46,46
A.J.,Green,WR,1,47,47
Sony,Michel,RB,1,48,48
Phillip,Lindsay,RB,1,49,49
Spencer,Ware,RB,1,50,50
